<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.10.02	1.31068	1.31372	1.31066	1.31307	5557	0	0
2016.10.03	1.31311	1.31436	1.30671	1.31180	97384	0	0
2016.10.04	1.31176	1.32147	1.31148	1.31964	126715	0	0
2016.10.05	1.31976	1.32313	1.31601	1.31774	104350	0	0
2016.10.06	1.31770	1.32480	1.31759	1.32228	106110	0	0
2016.10.07	1.32230	1.33128	1.31857	1.32898	150840	0	0
2016.10.09	1.32488	1.32635	1.32458	1.32478	5206	0	0
2016.10.10	1.32483	1.32777	1.31387	1.31682	92978	0	0
2016.10.11	1.31684	1.32718	1.31684	1.32291	136369	0	0
2016.10.12	1.32288	1.32870	1.32081	1.32767	123434	0	0
2016.10.13	1.32766	1.33060	1.31851	1.32019	132668	0	0
2016.10.14	1.32018	1.32191	1.31010	1.31406	122070	0	0
2016.10.16	1.31398	1.31482	1.31301	1.31416	5555	0	0
2016.10.17	1.31415	1.31824	1.31143	1.31146	99699	0	0
2016.10.18	1.31152	1.31386	1.30538	1.31074	97457	0	0
2016.10.19	1.31084	1.31407	1.30052	1.31323	113906	0	0
2016.10.20	1.31328	1.32338	1.31269	1.32275	110991	0	0
2016.10.21	1.32275	1.33540	1.32248	1.33321	99226	0	0
2016.10.23	1.33264	1.33545	1.33264	1.33511	4554	0	0
2016.10.24	1.33520	1.33969	1.32767	1.33484	99128	0	0
2016.10.25	1.33466	1.33703	1.33063	1.33522	111515	0	0
2016.10.26	1.33524	1.33838	1.33135	1.33732	116767	0	0
2016.10.27	1.33739	1.34067	1.33515	1.33859	119483	0	0
2016.10.28	1.33861	1.34329	1.33518	1.33949	130647	0	0
2016.10.30	1.34182	1.34182	1.33789	1.34045	6057	0	0
2016.10.31	1.34059	1.34234	1.33743	1.34188	100388	0	0
2016.11.01	1.34187	1.34251	1.33524	1.33922	122476	0	0
2016.11.02	1.33930	1.34226	1.33586	1.33944	128851	0	0
2016.11.03	1.33946	1.34017	1.33607	1.33919	120766	0	0
2016.11.04	1.33921	1.34645	1.33856	1.33992	117914	0	0
2016.11.06	1.33485	1.33835	1.33426	1.33590	6392	0	0
2016.11.07	1.33588	1.34167	1.33568	1.33717	100721	0	0
2016.11.08	1.33715	1.33904	1.32842	1.32959	107824	0	0
2016.11.09	1.32966	1.35240	1.32634	1.34099	245005	0	0
2016.11.10	1.34116	1.35082	1.33857	1.34715	181409	0	0
2016.11.11	1.34729	1.35472	1.34555	1.35314	188575	0	0
2016.11.13	1.35130	1.35269	1.35012	1.35256	4824	0	0
2016.11.14	1.35255	1.35877	1.35195	1.35373	158964	0	0
2016.11.15	1.35373	1.35523	1.34433	1.34542	145203	0	0
2016.11.16	1.34546	1.35050	1.34040	1.34261	139799	0	0
2016.11.17	1.34275	1.35365	1.33988	1.35358	126810	0	0
2016.11.18	1.35356	1.35636	1.34917	1.35083	140270	0	0
2016.11.20	1.34948	1.35130	1.34948	1.35078	4282	0	0
2016.11.21	1.35093	1.35101	1.33856	1.34096	125417	0	0
2016.11.22	1.34102	1.34665	1.33770	1.34314	118136	0	0
2016.11.23	1.34311	1.35157	1.34231	1.35017	122704	0	0
2016.11.24	1.35011	1.35345	1.34756	1.34913	92540	0	0
2016.11.25	1.34901	1.35338	1.34529	1.35164	111396	0	0
2016.11.27	1.34968	1.35365	1.34968	1.35196	3653	0	0
2016.11.28	1.35206	1.35218	1.33958	1.34029	114667	0	0
2016.11.29	1.34034	1.34802	1.33993	1.34311	104881	0	0
2016.11.30	1.34317	1.34629	1.33559	1.34251	135017	0	0
2016.12.01	1.34262	1.34367	1.33000	1.33068	113455	0	0
2016.12.02	1.33078	1.33184	1.32540	1.32851	101165	0	0
2016.12.04	1.32843	1.33546	1.32843	1.33254	9760	0	0
2016.12.05	1.33270	1.33478	1.32352	1.32732	117132	0	0
2016.12.06	1.32724	1.33106	1.32514	1.32760	90636	0	0
2016.12.07	1.32764	1.32957	1.32224	1.32243	89646	0	0
2016.12.08	1.32247	1.32497	1.31836	1.31964	111404	0	0
2016.12.09	1.31978	1.32116	1.31512	1.31769	80030	0	0
2016.12.11	1.31543	1.31608	1.31136	1.31309	6254	0	0
2016.12.12	1.31323	1.31517	1.31076	1.31265	105430	0	0
2016.12.13	1.31268	1.31394	1.31017	1.31348	97895	0	0
2016.12.14	1.31347	1.32942	1.30804	1.32850	132615	0	0
2016.12.15	1.32858	1.34165	1.32733	1.33335	165425	0	0
2016.12.16	1.33334	1.33916	1.33176	1.33390	122646	0	0
2016.12.18	1.33390	1.33421	1.33274	1.33400	6609	0	0
2016.12.19	1.33402	1.34221	1.33168	1.34041	98511	0	0
2016.12.20	1.34020	1.34332	1.33591	1.33698	91407	0	0
2016.12.21	1.33697	1.34461	1.33571	1.34314	84721	0	0
2016.12.22	1.34324	1.35197	1.34162	1.34815	97713	0	0
2016.12.23	1.34823	1.35562	1.34791	1.35335	88540	0	0
2016.12.25	1.35387	1.35389	1.35165	1.35174	2230	0	0
2016.12.26	1.35174	1.35412	1.35046	1.35245	16274	0	0
2016.12.27	1.35241	1.35794	1.35163	1.35752	81185	0	0
2016.12.28	1.35753	1.35978	1.35386	1.35522	89177	0	0
2016.12.29	1.35534	1.35576	1.34746	1.34793	110942	0	0
2016.12.30	1.34769	1.34960	1.34000	1.34457	126165	0	0
2017.01.02	1.34344	1.34537	1.33844	1.34396	56373	0	0
2017.01.03	1.34406	1.34599	1.33977	1.34203	102288	0	0
2017.01.04	1.34213	1.34565	1.32812	1.32974	124531	0	0
2017.01.05	1.32965	1.33122	1.31908	1.32289	142302	0	0
2017.01.06	1.32297	1.32674	1.31766	1.32336	123666	0	0
2017.01.08	1.32430	1.32536	1.32394	1.32396	3448	0	0
2017.01.09	1.32399	1.32763	1.31963	1.32143	98268	0	0
2017.01.10	1.32147	1.32566	1.31911	1.32446	103778	0	0
2017.01.11	1.32441	1.32935	1.31184	1.31635	153612	0	0
2017.01.12	1.31626	1.31700	1.30287	1.31503	138239	0	0
2017.01.13	1.31497	1.31672	1.31106	1.31192	125636	0	0
2017.01.15	1.31346	1.31363	1.31179	1.31271	5020	0	0
2017.01.16	1.31287	1.31873	1.31239	1.31751	90467	0	0
2017.01.17	1.31752	1.31888	1.30178	1.30621	148165	0	0
2017.01.18	1.30615	1.32706	1.30482	1.32637	133458	0	0
2017.01.19	1.32628	1.33526	1.32523	1.33207	143994	0	0
2017.01.20	1.33210	1.33867	1.32835	1.33192	142401	0	0
2017.01.22	1.33223	1.33288	1.33022	1.33028	5410	0	0
2017.01.23	1.33024	1.33342	1.32198	1.32372	133040	0	0
